nouseva numero,kortin numero,sana1,sana2,sana3,sana4,sana5,sana6,random numero
30,15,Taifuuni,Bugi,Kissa-tyttö,Dance Dance Revolution,Kohai,Anime-ilta,3
31,16,some,Reverse Harem,Bunny-girl,Doujinshi,Jujutsu Kaisen,AMV,1
32,16,Madhouse,Hawkeye (Fullmetal Alchemist),Tensei,Nahkalaukku,Dragon-girl,Tournament arc,1
33,17,Kimono,Baka,Gigo,Unohdettu muisto,Katsekontakti,Mana,2
34,17,Kakashi (Naruto),Luffy (One Piece),Bowser (Super Mario),Party,Kuumat lähteet -jakso,Photoshoot,6
35,18,Tuomarit,Taiyaki,Transformation,Korianteri,Powercreep,Level up,3
36,18,Joseph Joestar (JoJo's Bizarre Adventure),Kädenpito,Kirby (Kirby),Split cour,HardOff,Light Music Club,3
37,19,Puku,Wanha Satama,Ayaka (Genshin Impact),Kevätsipuli,Con-bussi,Artifact,6
38,19,Skelter Heaven,Cosplay-kisa,Nuudelit,Demon Slayer,Kuudere,Chibicon,3
39,20,Teeaika,Asobi Asobase: Workshop of Fun,Pelaaja,Katana,Juliste,Suursiivous,6
40,20,Rent-a-Girlfriend,Pilotti,Löyly,Karma (Assassination Classroom),Caramel dancen,Asu,2
41,21,Peruukki,Prizefiguuri,Dieselpunk,Peitto,Nichijou - My Ordinary Life,Kätyri,4
42,21,Titan,Miko,Captain Falcon (F-Zero),Continue,Loid Forger (Spy x Family),Urheilupäivä,2
43,22,Gundam,Retkeily,Takoyaki,Photoshop,Alphonse Elric (Fullmetal Alchemist),Tapahtuma,6
44,22,Naruto Shippuden,Natto,Battle Pass,Giga-chad,Ghost in the shell,Lohikäärme,4
45,23,Hovi,Brook (One Piece),Pupa,Waifu over meta,Falco (Star Fox),Bannivasara,6
46,23,Vuori,Nukkuminen,Viisumi,Hatsune Miku,Sisätossut,Lentävä Sirkkeli,4
47,24,Tyhjät silmät,Kuuriimut,Luigi ,Millenium-arvoitus,Usopp (One Piece),Dremeli,3
48,24,Kevät,Honmei-choco,Gurren Lagann,Tunnustus,Gambatte,Princess Peach (Super Mario),4
49,25,Made in Abyss,Zen,Para Para,Pörröisyys,Waifu-sota,Lomakohde,5
50,25,Kaksoiselämä,Greymon (Digimon),Schneizel (Code Geass),Yakiniku,Kylmä tee,Deadman Wonderland,1
51,26,Elric brothers,FamilyMart,Tsunami,Puhekanava,Kaguya-sama: Love is War,Varjomaailma,6
52,26,Kill la Kill,Matcha latte,Tanto cuore,Light Novel,Taito Station,Ace (One Piece),2
53,27,Filleriepisodi,Byleth (Fire Emblem),Scale figuuri,Bones,Lahjoitus,City Pop,3
54,27,Kybernetiikka,Orange-kun,Videot,Puhuva eläin,Valkoinen päivä,Veitsi,3
55,28,ASMR,Chainsaw Man,Ihmissusi,Puisto,Crunchyroll,Inkivääri,4
56,28,Työkalut,Rentoutuminen,Lapsuudenystävä,Sawako (K-On!),Kamera,Donation,3
57,29,W-Engine,Lucas (Mother 3),Vihreä tee,Ravintola,Nyancat,VR,3
58,29,Zhongli (Genshin Impact),Portaali,Yleisö cheerbaa,Haltija,Lawson,Pyyhe pään päällä,4
59,30,Kilpailija,Proppi,Transhumanismi,My Little Monster,Kyoto Animation,Laneilla,5
60,30,Klee (Genshin Impact),Uwabaki,Mugi-cha,Your Name,Maid,Onigiri,1
61,31,Keijo!!!!!!!!,Tsukiai,Rakkaudentunnustus,Alchemy,Kikatusta,Vesi,1
62,31,Fandom,Initial D First Stage,Worbla,Assyt,Edward Elric (Fullmetal Alchemist),Haori (vaate),4
63,32,Magazine,Suzume,Kangas,Valvominen,Fanservice,Kaiba (Yu-Gi-Oh!),1
64,32,Azur Lane,Yakisoba,Puheenjohtaja,Idoli,Beat Saber,Shibuya Crossing,4
65,33,Aatelisto,Kunnia,Origami,Kausi,Code Geass,Ram (Re:Zero),1
66,33,GameOver,Barret (Final Fantasy VII),Söpöys,Cockpit,Arcade,Snorlax,3
67,34,riisinkeitin,Guild,Akame ga Kill!,Miso-keitto,Yatai,Surugaya,6
68,34,Sininen silmäinen valkoinen lohikäärme,Megumin (KonoSuba),ContentCreator,Charles (Code Geass),Iltabileet,Sailor fuku,2
69,35,Genshin Impact,Kengät,Wuthering Waves,Nintendo,Kone,Tokisaki Kurumi,2
70,35,Kokuhaku,Homunculus,Rantajakso,Okinawa,Striimaaja,The Seven Deadly Sins,5
71,36,Pomo,Sauna,Lokerot,Hatsumode,Animekerho,Rukous,1
72,36,Cheat skill,Mecha,Kaavat,Mad Scientist,Pehmolelu,Poyo,4
73,37,Vtuber,Primeri,Goku,Ridley (Metroid),Seinen,Energiajuoma,4
74,37,Tsuyu,Toad (Super Mario),Arachne,Seuraaja,Sensei,Post-con depression,3
75,38,Shounen,Subi,Harem,Kuru kuru,Diluc (Genshin Impact),Sinihiuksinen hahmo,2
76,38,Nakama,Donut,Patamon (Digimon),Hetalia Axis Powers,Jäsen,Tilaaja,4
77,39,Uni,Prinssi,Koulu,Sento,Nagisa (Assassination Classroom),Subathon,1
78,39,Orika,Voitto,Roolipeli,Loitsu,Superi,F2P,3
79,40,Mode,Ompelu,Miso,The Rising of the Shield Hero,Manga-pokkari,Hymy,4
80,40,Pokémon ,Winry (Fullmetal Alchemist),Draama,"Mirai Nikki ,The Future Diary",Suuret silmät,Mitali,1
81,41,Miljöö,Samurai,Peruutus,Robin (One Piece),Maskotti,Yamete kudasai,2
82,41,Henti,Fullmetal,Mythra (Xenoblade Chronicles 2),Classroom of the Elite,Taiko no Tatsujin,Weathering with you,5
83,42,Rakettiryhmä,Banzai,Shikanoko Nokonoko Koshitantan,Tonberry,Amber (Genshin Impact),Stamina,2
84,42,Omikuji,Nauta,Maailmanpelastus,Eevee,Kuningatar,Twitter,2
85,43,Örkki,Akvaario,Seiyû,Paahtoleipä suussa juokseminen,Senpai,Shoppailu,5
86,43,DDR,Tokyo tower,Cactuar,Tofu,Daily,Syömäpuikot,4
87,44,Pepsi,Firefly,Ufotable,Broossi,Rahastonhoitaja,Kohu,4
88,44,Sakura,Pelihalli,Kansai,Oshogatsu,Avaimenperä,Lurkkaaja,1
89,45,Ase,Sriracha,Marth (Fire Emblem),Fanta,Villager,Sähläys,4
90,45,Ema,Boothill,Sabo (One Piece),Buffi,Omae wa mou shindeiru,Rival,4
91,46,Lelouch (Code Geass),Luffy Gear 5 (One Piece),Ostokset,Rooli,Popkorni,Botti,3
92,46,Wario (Super Mario),Nagasaki,Ki,Wiggi,Moogle,My Hero Academia,5
93,47,Rate-up,Gatomon (Digimon),Huvipuisto,Klaani,Donki,Kirei,2
94,47,Attack on titan,Rytmipelit,Nezuko (Demon Slayer),Figma,Uintikilpailu,Toei Animation,2
95,48,Olut,Great Teacher Onizuka,Anteeksipyyntövideo,Parannusjuoma,Hype,Kaido (One Piece),6
96,48,Nya,Hikikomori,Linssi,Avioliittolupaus,Guild reward,Mangaka,5
97,49,Viikoittainen hirviö,Ikebana,Gakuran,Shoujo,Striimimaraton,Liike,6
98,49,Sora (Kingdom Hearts),Kagebunshin,Dorayaki,Power of friendship,Majatalo,Mudkip,1
99,50,Siivouspäivä,Rem (Re:Zero),Protagonisti,Haneda,Lahja,Pegasus (Yu-Gi-Oh!),6
100,50,The Melancholy of Haruhi Suzumiya,Syksy,Sasuke (Naruto),Misato (Neon Genesis Evangelion),Live2D,Mario,4
101,51,Ton-chan,Taikasauva,Full metal alchemist ,Areena,Blazer,Arigato,5
102,51,Hololive,Kotatsu,S-rank,Sakura (Naruto),Figuuri,Festivaali,3
103,52,Cancel,Bento-laatikko,Philosopher's stone,Dr Ratio,Reppu,Jotaro (JoJo's Bizarre Adventure),5
104,52,Post-apokalyptinen,Circle,Yosuga no sora,Ikebukuro,Katsu curry,Bakugo (My Hero Academia),1
105,53,Mikasa (Attack on Titan),Hax,Husbando,Nekokorvat,Father (Fullmetal Alchemist),Mewtwo,5
106,53,No game no life,Spice and Wolf,Klikkiotsikko,Weekly,Kääpiö,Fanitus,4
107,54,DARLING in the FRANXX,Vampire Holmes,Corrin (Fire Emblem),Kioski,Digivolve,Keltuainen,5
108,54,Itku,Cowboy Bebop,Koiraihminen,CloverWorks,Dolphin,Noppa,2
109,55,Yor Forger (Spy x Family),Tsundere,Slime,Arknights,Keräily,Vaporwave,1
110,55,Otoshidama,Mosimosi,Nightcore,Hinata (Naruto),Xiao (Genshin Impact),Ghibli,5
111,56,Solumuovi,Wallscroll,Hayao Miyazaki,Itadakimasu,Black Butler,Tsukimi,1
112,56,OP,Uusivuosi,Mugi (K-On!),Exodia (Yu-Gi-Oh!),Hellsing Ultimate,Ystävä,5
113,57,Studio Pierrot,Donkey Kong (Nintendo),Shonen Jump,Oshi no ko,One Piece,Antagonisti,6
114,57,Billy (Zenless Zone Zero),Summoning,Biopunk,Mochi,Pohjamaali,Denji (Chainsaw Man),5
115,58,Saappaat,Gendo (Neon Genesis Evangelion),Kigurumi,Fullmetal Alchemist: Brotherhood,Vocaloid,Tankobon,1
116,58,Zelda (The Legend of Zelda),Fuwa Fuwa Time,Kattila,Kuvaaja,Nosebleed,Kanava,1
117,59,Cosplay,Musiikki,Roy (Fire Emblem),Dandere,Rei (Neon Genesis Evangelion),Haarniska,2
118,59,Sakset,Lopetuseremonia,Seikkailija,Kazuma (KonoSuba),Greed (Fullmetal Alchemist),Sense,6
119,60,Suojelu,Androidi,Chuhai,Jun (K-On!),Relic,sakuga,3
120,60,Messukeskus,L (Death Note),Succubus,Ainz Ooal Gown (Overlord),Shoyu,Lightcone,4
121,61,Kakku,Riita,Tokyo Mew Mew,Ui (K-On!),Matka,Tifa Lockhart (Final Fantasy VII),2
122,61,Sihteeri,Panty & Stocking with Garterbelt,Kesä,Uusi rakkaus,Miku-purkki,Fani,6
123,62,Mirin,Bluesky,Ghost Stories,Karkki,Assembly,Hunter x Hunter,5
124,62,Dakimakura,Giri-choco,Monsteri-isku,Pyhäkkö,Saber (Fate/Stay Night),Instant Ramen,6
125,63,Gluttony (Fullmetal Alchemist),Waifu War,Leffa-ilta,Seesamiöljy,Kizuna AI,Kirsikankukat,4
126,63,Gacha,Maalaus,Thumbnail,Lattia,Kitsunecon,Mustang (Fullmetal Alchemist),6
127,64,Paha organisaatio,Moderaattori,Dragon Ball Z,Esports,Kokis,Sauva,5
128,64,Krapula,Ugi,Potion,Seuraavaa conia odotellessa,Albedo (Overlord),Superchat,3
129,65,Studio,Terry Bogard (Fatal Fury / Fatal Fury: King of Fighters),Salaisuus,Follower,Banni,Taikatyttö,5
130,65,Glowstick,Lanit,Levi (Attack on Titan),White Day,Teltta,Animecon,5
131,66,Doni,Cloud Strife (Final Fantasy VII),Kumarrus,bento,Discord,Yukata,5
132,66,Reroll,All Might (My Hero Academia),Oolong,Kofeiini,Misa Misa (Death Note),Zoro (One Piece),3
133,67,Franky (One Piece),Ironmouse,Isekai,Desucon,Blue Archive,Sanji (One Piece),5
134,67,Logomo,Sugoi,Totoro,Shinto,Paimon (Genshin Impact),Fanfiction,3
135,68,Tokyo Ghoul,Magical Girl,Kuvat,Unilaji,Osechi,Steins Gate,5
136,68,Redo of Healer,Ninja,Koulu-bändi,Sibeliustalo,Kaeya (Genshin Impact),Trigun,6
137,69,Lamia,Sadekausi,Pelistriimi,Ritari,Pelin henki,Monster-girl,6
138,69,Hollow,Musiikkikerho,Taidekirja,Battery,Meitantei Konan,Pehmeys,4
139,70,Teriyaki,Filtteri,Big Mom (One Piece),Darra,Geisha,Miazaki,2
140,70,Vinland Saga,Alkemisti,Omistushalu,Evangelion,Isabelle (Animal Crossing),Purkka,5
141,71,Nauru,Dango,Esitys,Sormus,Yokai,Emilia (Re:Zero),4
142,71,Fursuit,Naamiomies,Villainess,Kenkien vaihto,Strong Zero,Maailmanpyörä,2
143,72,Elfen Lied,Visual Kei,Azumanga Daioh: The Animation,Kummitus,Sake,Tatami,5
144,72,Garurumon (Digimon),Taverna,Serial Experiments Lain,Shikoku,Lava,Koju,6
145,73,Futon,Uwu,Venti (Genshin Impact),PC,Akryylimaalit,Häviö,4
146,73,Badge,Jeni,Nekocon,Gyoza,Nikke,Kritti,6
147,74,Piilolinssit,Leomon (Digimon),Seicomart,Gawr Gura,Tulivuori,Status screen,6
148,74,Centaur,Valot,Adventurer,Wolf (Star Fox),Ryystäminen,Pusu,3
149,75,J-Rock,Koulupuku,Koulufestivaali,Kioto,Yukicon,Za Warudo,2
150,75,Meikki,Ranked,Kitsune,Kyyneleet,Harpy,Paras ystävä,3
151,76,Omnimon (Digimon),Tanjiro (Demon Slayer),Luokka,Todoroki (My Hero Academia),Meta,Tee,5
152,76,Drini,Streaming,Dio (JoJo's Bizarre Adventure),Inventory,Elokuvat,Demon lord,5
153,77,Gacha-pelit,Shipata,Violet evergarden,Muodonmuutos,Kawaii desu ne,Naruto (ruoka),3
154,77,Ilotulitus,Inkling (Splatoon),Animate,Darker than Black,Hiroshima,Kitsunemimi,1
155,78,Makima (Chainsaw Man),Suuttumus,Hanami,Glitsi,Meemit,Puntit,1
156,78,Harjoituspuikot,Nunnally (Code Geass),Yandere-katse,Nani,Ääni,Waifu,3
157,79,Meemi,Tanssi,Verinen nenä,Hali,Aerith (Final Fantasy VII),Kazuya (Tekken),4
158,79,Juonittelu,Onsen,Sound Voltex,Hopeanuoli,Tulinen,Kyushu,5
159,80,Parasyte: The Maxim,Kuppinuudeli,Maku,Eren Jaeger (Attack on Titan),Shibuya,Toinen maailma,4
160,80,Nami (One Piece),Ike (Fire Emblem),Salama,Topias (PJ) ,Jäämurska,Smurffi,3
161,81,Shinzo Abe,Darkness (KonoSuba),Soijakastike,Akira,Dogeza,Yleisön suosikki,3
162,81,Sephiroth (Final Fantasy VII),Chaos Dragon,Graffiti-seinä,KonoSuba: God's Blessing on This Wonderful World!,Sapporo,Akihabara ,6
163,82,Robin (HSR),Shinji (Neon Genesis Evangelion),Pöytäroolipeli,Pumpulienkeli,Koyo,Reincarnation,6
164,82,Agumon (Digimon),Digimon,Temppeli,Reiryoku,Zoni,Hirviö,1
165,83,K-On,Lucky Star,Aha-ge,Kimonot,Chopper (One Piece),Spoilerivaroitus,2
166,83,Hionta,Shinigami,Near (Death Note),Passi,Mount Fuji,Kakigori,2
167,84,Solarpunk,Pärinä,Sayan,Ganbare,InuYasha,The Promised Neverland,2
168,84,C.C. (Code Geass),Hypecon,Yugi (Yu-Gi-Oh!),Hammasharjakohtaus,Pimeyden voimat,Yandere,6
169,85,Pelaaminen,Pyörtyminen,5-tähden,Pikachu,Huuto,Kawaiius,2
170,85,Skitti,Sloth (Fullmetal Alchemist),Piti,Meta Knight (Kirby),Foami,Konbini,4
171,86,Furina (Genshin Impact),Kami,Byleth,Comeback,Threads,Kriittinen osuma,1
172,86,Rerun,Drive Disc,Chunithm,4-tähden,Nendoroid,Sousou no Frieren,1
173,87,Monster of the week,Mansikka kakun päällä,Speedwagon (JoJo's Bizarre Adventure),Deku (My Hero Academia),Karkotus,Kirin,2
174,87,Twiitti,Quest,Tanssipeli,One Punch Man,Turnaus,Wanderer (Genshin Impact),2
175,88,Nekomimi,Wotagei,Käsityö,Law (One Piece),Puella magi madoka magica,Shio,6
176,88,Tomodachi-choco,MaiMai,Treffit,Aqua (KonoSuba),Paviljonki,Chili,3
177,89,School Days,Tonkotsu,Psycho-Pass,Sukuna (Jujutsu Kaisen),JoJo's Bizarre Adventure,Varapuheenjohtaja,5
178,89,Slime-girl,Aldnoah.Zero,Prinsessa,Dystopia,Ramune,Casteri,1
179,90,Daily Yamazaki,Shinkansen,Raiden Shogun (Genshin Impact),Kananmuna,Mio (K-On!),Energy,3
180,90,Yui (K-On!),Udon,Palkkio,Link (The Legend of Zelda),Shinjuku,Sankari,2
181,91,Trailblaze,Chrom (Fire Emblem),Liima,Teppanyaki,Lo-Fi,Matsuri,1
182,91,Soba,24h striimi,Makuupussi,Pride (Fullmetal Alchemist),Chunibyo,Fukushima,1
183,92,Sillankaide-tunnustus,Epäonnistuminen,Chat,Kulttuurifestivaali,Taikuus,Pochita (Chainsaw Man),6
184,92,Frieren: Beyond Journey's End,Ystävyyden voima,Toreba,Ganyu (Genshin Impact),Kuningas,Chopsticks,2
185,93,MiniStop,Tyyny,Zenless Zone Zero,A-rank,Ilta-hengailu,Viisasten kivi,2
186,93,Gojo Satoru (Jujutsu Kaisen),Fate/Stay Night,Initial D,Koro-sensei (Assassination Classroom),Spy x Family,Ystävänpäivä,3
187,94,Ellen (Zenless Zone Zero),Kirsikankukkien terälehdet,Kilta,Asahi,Mecha-taistelu,Crane game,2
188,94,Dragon ball,Fuji,Torii-portti,Hu Tao (Genshin Impact),Shuriken,Kaali,4
189,95,Kylpytakki,Re:ZERO -Starting Life in Another World,Kamikaze,Osaka,Time skip,Tubettaja,3
190,95,Virtuaalitodellisuus,Kunnia-maininta,Tohoku,Subarashii,Otome-peli,Vesipisarat,3
191,96,Nerffi,Hiekkapaperi,Bannat,Alkoholi,Saitama,Sormet ristissä,3
192,96,MegaDonki,Limu,Light Yagami (Death Note),Nuorisotalo,The Devil is a Part-Timer!,Sunrise,2
193,97,Vehnätee,Spinzaku,Sushi,Lust (Fullmetal Alchemist),Kihlauksen purku,Rankki,1
194,97,Raha,Samus Aran (Metroid),Resin,Pulli,Aave,Sailor Moon,6
195,98,Konsoli,Sakamoto Days,Scaramouche (Genshin Impact),7-Eleven,Moe,Tamperetalo,3
196,98,Transmutation,High school of the dead,Chakra,Gaara (Naruto),Kojut,Voittaja,6
197,99,BookOff,Henkien kätkemä,Yleisö,Editointi,Video,Valokuvaus,1
198,99,Skill tree,Don Quijote,Ayaya,Haki,Rimuru (That Time I Got Reincarnated as a Slime),Seikkailu,2
199,100,Blue Lock,Vastaus-suklaa,Whitebeard (One Piece),Taidekuja,Mappa,Hokage,5
200,100,Fire Force,Ryuk (Death Note),Jäätee,Waluigi (Super Mario),JRPG,Bulbasaur,1
201,101,Hardcore,Mandai,Omake,Demon Slayer: Kimetsu no Yaiba,Maine,Hanabi,4
202,101,Ronin,Subaru (Re:Zero),Yakuza,Chashu,Ritsu (K-On!),Spraymaali,3
203,102,Kaworu (Neon Genesis Evangelion),Con-rutto,Robin (Fire Emblem),Palkinto,Kinkku,Tiara,6
204,102,Suklaa,Talvi,Punastuminen,Honshu,Bang Bang Bang Shshshshs,Leakit,3
205,103,Lucina (Fire Emblem),Adventurine,Kana,Rakkaus,Pizza Hut,Berserk,4
206,103,Grave of the Fireflies,Mahjong,Weiß Schwarz,Deredere,Toradora!,Vaihto-oppilas,1
