nouseva numero,kortin numero,sana1,sana2,sana3,sana4,sana5,sana6,random numero
77,39,Suursiivous,JoJo's Bizarre Adventure,Ex-Arm,Ghost in the shell,Paviljonki,Reiryoku,2
78,39,Articuno,Ponyo rantakalliolla,Shuriken,Porco Rosso,Assyt,Josei,3
79,40,Hokage,Light Music Club,One Piece,Donki,Hali,Cosplay-Kisa,3
80,40,Photoshoot,Tokisaki Kurumi,Ranta-Episodi,Varapuheenjohtaja,Otoshidama,Serveri,3
81,41,Jiggle Physics ,Iltabileet,Fox-Girl,Great Teacher Onizuka,Big Mom (One Piece),Azur Lane,2
82,41,Gengar,Ness (EarthBound),Kuppinuudeli,Örkki,Raivo,Liima,6
83,42,Talvi,Hanami,Sake,Hanekawa (Bakemonogatari),Furina (Genshin Impact),Line,3
84,42,Marth (Fire Emblem),Higurashi,Tyhjät Silmät (lasittuneet),Taidekuja,Chibi,Donation,1
85,43,Kakashi (Naruto),Worbla,Jotaro (JoJo's),Pyyhe Pään Päällä,Voitto,Gacha-Pelit,2
86,43,Sousou no Frieren,Oshi no Ko,Ikebukuro,Scar (Fullmetal Alchemist),Power of Friendship,Koulukengät,2
87,44,Kotatsu,Tee,Keijo!!!!!!!!,Merimiesuniformu,Loitsu,A-rank,2
88,44,Monsteri,Lava,Omnimon (Digimon),Taito Station,Uusi elämä,Skitti,3
89,45,Full Metal Alchemist,Kananmuna,Falco (Star Fox),Mad Scientist,Nosebleed,Koulu,6
90,45,Viisasten Kivi,Uwabaki,Asuka (Neon Genesis Evangelion),Gari,Meikki,Dragon-Girl,5
91,46,Animate,Deku (My Hero Academia),Löyly,Bugi,Pelihalli,Honshu,3
92,46,Sini Silmäinen Valkoinen Lohikäärme,Nagasaki,Kuriboh (YuGiOh),Mushoku Tensei: Jobless Reincarnation,Waifu,Strong (ei mikään fake zero),5
93,47,Instant Ramen,Barret (Final Fantasy VII),Ase,Joker (Persona 5),Majatalo,Blue Archive,6
94,47,Blue Lock,Reroll,Slime-Girl,Naamiomies,Lelouch Lamperouge (Code Geass),Esitys,2
95,48,Gatomon (Digimon),Mustasukkaisuus,Tunnustus,Kesä,Tokyo Tower,Shoppailu,2
96,48,Yoko Littner (Gurren Lagan),Urheilufestivaali,Pomo,Saber (Fate),Senjougahara (Bakemonogatari),Nekocon,3
97,49,Silmälappufantasia,Portaali,J-Rock,Kitsunemimi,Sephiroth (Final Fantasy VII),Kybernetiikka,4
98,49,Primeri,Alkoholi,Itku,Tuuli nousee,Mansikka Kakun Päällä,Paha Organisaatio,3
99,50,Turri,Zigzagoon,Itachi Uchiha (Naruto),Chopper (One Piece),Katsuragi Misato (Evangelion),Cosplay,4
100,50,Oden,Roy (Fire Emblem),Lattiamajoitus,Konbini,Near (Death Note),Haunter,2
101,51,Ghibli,Soijakastike,Mikasa Ackerman (Attack on Titan),Torii-Portti,Nezuko (Demon Slayer),Hellsing Ultimate,2
102,51,Gabumon (Digimon),Attack on titan,Rent-a-Girlfriend,Nakano Broadway,Spraymaali,Salama,1
103,52,Parannusjuoma,Yosuga no Sora,Pokémon ,Kami,Yakuza,Poika ja haikara,4
104,52,Spy x Family,Eren Jaeger (Attack on Titan),Kuumat Lähteet -episodi,Trigger,The Promised Neverland,Toinen Maailma,1
105,53,Vocaloid,Speedwagon (JoJo's),Inkivääri,Kazuha (Genshin Impact),Kaguya-sama: Love is War,Mario,1
106,53,Nunnally (Code Geass),Luffy (One Piece),Toad (Super Mario),Zelda (The Legend of Zelda),Aerith (Final Fantasy VII),Moderaattori,3
107,54,Asu,Chaos Dragon,Umbreon,Koulupuku,ContentCreator,Musiikkikerho,2
108,54,Asahi,My Little Monster,A.I.,"Mirai Nikki ,The Future Diary",Casual,Usopp (One Piece),1
109,55,Lomakohde,Caramel Dansen,Fanservice,Hopeanuoli,Hetalia Axis Powers,Wrath (Fullmetal Alchemist),3
110,55,Kioto,Death Note,Osu!,Protagonisti,Manzai,Kylpylä,5
111,56,Vesi,Rônin,AE86 (Initial D),Pity (gacha),Chainsaw Man,Popkorni,4
112,56,Pepsi,Yakisoba,Bulbasaur,Fanitus,Chat,Lahjoitus,6
113,57,Pride (Fullmetal Alchemist),Musta Maagi,Gon Freecss (HxH),Fate/Grand Order,Donut,Jäätee,3
114,57,Whale,Kihlauksen Purku,Bakemonogatari,Jousipyssy,Cloud Strife (Final Fantasy VII),Dandere,4
115,58,Puheenjohtaja,Ram (Re:Zero),Ojamashimasu,Udon,Millenium-Arvoitus,Ikebana,1
116,58,Spinzaku,Tsunami,Seesamiöljy,Gendo Ikari (Evangelion),Ystävä,One Punch Man,3
117,59,Kuru kuru,Koju,Salaisuus,Meta,Husbando,Visual Kei,1
118,59,Jeni,Bowser (Super Mario),Leomon (Digimon),Corrin (Fire Emblem),Tiara,Messukeskus,2
119,60,Subathon,Ryystäminen,Kylmä Tee,Pyörtyminen,Bunny-girl,Rooli,2
120,60,Weekly,Otome-Peli,Your Name,Sukuna (Jujutsu Kaisen),Haikyu!!,Matsuri,5
121,61,Valkosipuli,Oshôgatsu,Sillankaide-Tunnustus,Sakuga,Drop-Rate,Sora (Kingdom Hearts),4
122,61,Tsukiai,Samurai,AMV,Karma (Assassination Classroom),Temppeli,Gigo,1
123,62,Quest,Idoli,Purjo,Rudeus Greyrat (Mushoku Tensei),Koululaukku,Banzai,3
124,62,Lahja,Isekai,Fursuit,Valokuva,Taikatyttö,Toei Animation,6
125,63,Dio Brando (JoJo's),ASMR,Time Skip,Jolteon,Rytmipelit,Karppi,1
126,63,Koulureppu,Stand,Waifu Over Meta,Light Novel,Karkki,Byleth (Fire Emblem),1
127,64,Makuasia,Nikke,Glaceon,Firefly,Mahjong,Pörrö,1
128,64,Equivalent Exchange,Hinata (Naruto),Miko,Kamera,Kunnia,Maine,5
129,65,Tsumugi (K-On!),Nico Nico Douga,Status Screen,Assembly,Pakkomielle,Vaporwave,6
130,65,Gambatte,Häviö,Yuki Nagato (Haruhi Suzumiya),Lucky Star,Maku,City Pop,5
131,66,Kenkälokerot,Mecha,Chrom (Fire Emblem),Editointi,Noob,Harjoituspuikot,2
132,66,Koulufestivaali,Mob Psycho 100,Gakuran,Sauva,Sasuke Uchiha (Naruto),Sunrise,4
133,67,Link (The Legend of Zelda),Magazine,Sibeliustalo,Sword Art Online,Trigun,High School of the Dead,5
134,67,Lapsuudenystävä,Taiyaki,Pupa,Captain Falcon (F-Zero),Deadman Wonderland,Taiko no Tatsujin,1
135,68,Rakkaudentunnustus,Alphonse Elric (Fullmetal Alchemist),Nami (One Piece),Kangas,Mushishi,Pusu,4
136,68,Haltija,Koro-Sensei (Assassination Classroom),Kattila,Post-Apokalyptinen,Tonkatsu,Akihabara ,4
137,69,No Game No Life,The Rising of the Shield Hero,Rekka-Kun,Thumbnail,DDR,Succubus,6
138,69,Sugoi,Lamia,Saiyalainen,Kaksoiselämä,Giri-Choco,Uma Musume,2
139,70,Kikin lähettipalvelu,Winry Rockbell (Fullmetal Alchemist),Ganondorf (The Legend of Zelda),Kulttuurifestivaali,Ystävyyden Voima,7-Eleven,6
140,70,Ainz Ooal Gown (Overlord),Ayaka (Genshin Impact),InuYasha,Haaremi,Darkness (KonoSuba),Pulli,5
141,71,Kylpytakki,Fukushima,Sauna,Arigato,Princess Peach (Super Mario),Raha,2
142,71,Reverse Harem,Flareon,Shanks (One Piece),Cockpit,Itsuki Koizumi (Haruhi Suzumiya),Akame ga Kill!,5
143,72,Kone,Taverna,Mewtwo,Maameren tarinat,Unohdettu Muisto,Killua Zoldyck (HxH),4
144,72,Boba,FFFight,Treffit,Christina (Steins Gate),School Days,Maskotti,5
145,73,Super Smash Bros.,Sipsit,F2P,Palkinto,JRPG,Suukko,5
146,73,Kuudere,Kevätsipuli,Proppi,Lopetuseremonia,Shinkansen,Miazaki,1
147,74,Scale Figuuri,Retkeily,Moltres,Makima (Chainsaw Man),Prizefiguuri,Hayao Miyazaki,2
148,74,Togepi,Sloth (Fullmetal Alchemist),Loid Forger (Spy x Family),Hololive,Kokis,Yor Forger (Spy x Family),6
149,75,Haori (vaate),Shinjuku,Yandere-katse,Beat Saber,Weiß Schwarz,Natto,4
150,75,Patamon (Digimon),Kaeya (Genshin Impact),Greymon (Digimon),Dorayaki,Puhuva Eläin,Pelaaja,5
151,76,Code Geass,Suicune,Guilty Crown,Kaali,Madhouse,Daily,5
152,76,Fate/Stay Night,Hanabi,Melonpan,Paimon (Genshin Impact),Pikachu,Kirin,1
153,77,Season,Chobits,Yukicon,C.C. (Code Geass),Honmei-Choco,Waifu War,6
154,77,Transhumanismi,Jäähile,Fandom,Kitsunecon,Miljöö,Kansai,6
155,78,Geisha,Rakkaus,Tanssi,Con-Bussi,Summoning,Matcha,6
156,78,The Devil is a Part-Timer!,Kyoto Animation,Chashu,Kirei,Keltuainen,Billy (Zenless Zone Zero),1
157,79,Zapdos,Tyyny,Rahastonhoitaja,Ike (Fire Emblem),Figma,Olut,6
158,79,Puisto,Sormus,Shinzo Abe,Steampunk,WataMote,Maomao (The Apotechary Diaries) ,5
159,80,Pinssi,Party,Kunnia-Maininta,Maailmanpelastus,Rem (Re:Zero),Shonen Jump,1
160,80,Orange-Kun,Seinen,Robin (Fire Emblem),Takopii,Dance Dance Revolution,Muodonmuutos,4
161,81,Figuuri,Kitsune,The Melancholy of Haruhi Suzumiya,Mudkip,Luokka,Hardcore,5
162,81,Kinkku,Wiggi,Blazer,Soba,Kahvittelu,Pukuhuone,2
163,82,Chakra,Inumimi,Todoroki (My Hero Academia),Potion,Gilgamesh (Fate),Makuupussi,5
164,82,Cyberpunk,Nerffi,Haki,Tokio,Serial Experiments Lain,Ramune,4
165,83,Black Butler,Kenkien Vaihto,Taidekirja,Mikuru Asahina (Haruhi Suzumiya),Hokkaido,Luigi ,6
166,83,Söpöys,Seiyû,Final Fantasy,Nendoroid,Deredere,Harpy,5
167,84,Vtuber,Skill Tree,Battle Pass,Hatsune Miku,Hymy,Okinawa,4
168,84,Diluc (Genshin Impact),Possu,Kuumaliima,Tilaaja,Festivaali,Baka,4
169,85,Lanit,Samus Aran (Metroid),Tokyo Ghoul,Hatsum?de,Wuthering Waves,Laputa – linna taivaalla,3
170,85,Arcade,Miku-Purkki,Doujinshi,Live2D,Classroom of the Elite,Opiskelijakunta,5
171,86,Tôhoku,Brook (One Piece),Kädenpito,Lust (Fullmetal Alchemist),Desucon,Sisätossut,2
172,86,Seikkailu,Waifu-Sota,Nuudelit,Split Cour,Bobobo-bo Bo-bobo,Wit Studio,6
173,87,Misa Misa (Death Note),Z?ni,Street Fighter,Pöytäroolipeli,Superi,Shipata,6
174,87,Ridley (Metroid),Seuraaja,Gobliini,Cowboy Bebop,Hououin Kyouma (Steins Gate),Vampyyri,5
175,88,Prinsessa Kaguyan taru,Syksy,Omae wa mou shindeiru,Punastuminen,Fox McCloud (Star Fox),Rate-Up,1
176,88,Glowstick,Seifuku,Sabo (One Piece),Neon Genesis Evangelion,Continue,Moshi Moshi,3
177,89,Vuori,Transmutation,Kaavat,Follower,Matcha Latte,Schneizel (Code Geass),1
178,89,Hisoka Morow (HxH),Joey Wheeler (Yu-Gi-Oh!),Shikoku,Rakkauden Voima,Taifuuni,Butler,4
179,90,Limit Break,King Dedede (Kirby),Mode,Ninja,Seuraavaa conia odotellessa,Rakettiryhmä,1
180,90,Subarashii,Voittaja,Sihteeri,Siivouspäivä,Maanjäristys,Osechi,5
181,91,Sound Voltex (rytmipeli),Xiao (Genshin Impact),Kyushu,4-tähden,Hirviö,Usada Pekora,4
182,91,Pyhäkkö,Kätyri,Charizard,Konsoli,Redo of Healer,Bang Bang Bang Shshshshs,3
183,92,Nightcore,Pilotti,Sensei,CloverWorks,Pörröisyys,Vampire Holmes,6
184,92,Omistushalu,Kaupunki Tuhoutuu,MegaDonki,Seicomart,Chocobo,Yoshi,1
185,93,Aldnoah.Zero,Kofeiini,Okonomiyaki,Lolita (muoti),Pärinä,Tokyo Mew Mew,6
186,93,Naruto (ruoka),Miso-Keitto,Teeaika,Paahtoleipä suussa juokseminen,Haneda,Eevee,1
187,94,Sakset,Banjo-Kazooie,Chunithm (rytmipeli),Natsuki Subaru (Re:Zero),Henkien Kätkemä,Megumin (KonoSuba),1
188,94,Terry Bogard (Fatal Fury),Juliste,Villainess,Kääpiö,Taikaisku,Akira,3
189,95,Pimeyden Voimat,Lucas (Mother 3),Dakimakura,Panty & Stocking with Garterbelt,Magical Girl,Antagonisti,3
190,95,Bossi,Cactuar,Kirsikankukkien Terälehdet,Koulu-Bändi,Puku,Mecha-Taistelu,6
191,96,Nichijou - My Ordinary Life,Booba,Puhekanava,Turnaus,Omake,Riisinkeitin,4
192,96,Riisiviinietikka,Jäsen,Shinji Ikari (Evangelion),Katsu Curry,Tsuyu,Yandere,3
193,97,Animecon,Spoilerivaroitus,Kakigôri,Tracon,Varjomaailma,Agapio Racing Team,3
194,97,Totoro,Komeat Miehet,Gacha,Satou Kazuma (KonoSuba),Gundam,Matka,5
195,98,Circle,Striimaus,Bones,Adventurer,K-On!,Edward Elric (Fullmetal Alchemist),5
196,98,Kevät,Aqua (Oshi no Ko) ,Nukkuminen,Tofu,Lohikäärme,Noppa,4
197,99,Moogle,Astolfo (Fate/Apocrypha),Yukata,Yatai,Snorlax,Aho-ge,1
198,99,Bento (-laatikko),Seto Kaiba (Yu-Gi-Oh!),Nagisa (Assassination Classroom),Bakugo (My Hero Academia),Yugi (Yu-Gi-Oh!),Skelter Heaven,2
199,100,Kôhai,Moe,Maalaus,Tonkotsu Ramen,Prinsessa Mononoke,Comeback,1
200,100,Kakku,Draama,Gojo Satoru (Jujutsu Kaisen),Club Sega,24h striimi,Ufotable,4
201,101,ANIME-EXPLAINER,Selitä korttien sanoja,100 korttia,3-8+ pelaajaa,Ikäsuositus: 13+,Peliaika: 15-45min,1
202,101,ANIME-EXPLAINER,Selitä korttien sanoja,100 korttia,3-8+ pelaajaa,Ikäsuositus: 13+,Peliaika: 15-45min,1
